nom,artistes,année,popularité,durée_ms,tonalité,mode,signature_temps,acoustique,dansabilité,énergie,instrumentalité,vivacité,loudness,parlant,valence,tempo,album
FEARLESS,LE SSERAFIM,2022,78,168437,7,1,4,0.0508,0.863,0.62,0.00324,0.129,-7.167,0.135,0.432,103.971,FEARLESS
On A Different Night,Josh Ross,2022,66,189278,1,1,4,0.0168,0.528,0.711,0,0.13,-5.494,0.0326,0.0873,157.99,On A Different Night
Hotel,Montell Fish,2022,72,197333,0,0,4,0.752,0.228,0.427,0.0167,0.592,-8.739,0.0363,0.192,180.345,Hotel
Growing Sideways,Noah Kahan,2022,66,255144,7,1,4,0.744,0.665,0.296,0,0.0922,-8.64,0.0276,0.539,89.142,Stick Season
Sleazy Flow (with Lil Baby) - Remix,"SleazyWorld Go, Lil Baby",2022,67,161355,2,1,4,0.2,0.869,0.298,0,0.0753,-12.076,0.386,0.178,77.47,Sleazy Flow (Remix)
Typa Girl,BLACKPINK,2022,75,179173,7,1,4,0.0745,0.915,0.621,0,0.628,-6.519,0.1,0.527,131.984,BORN PINK
Right On,Lil Baby,2022,67,213976,2,1,4,0.0245,0.535,0.618,0,0.103,-5.668,0.382,0.211,165.991,Right On
Ferrari,"James Hype, Miggy Dela Rosa",2022,82,186662,1,0,4,0.0127,0.847,0.69,6e-05,0.0526,-7.877,0.0493,0.692,125.004,Ferrari
Valentine,Laufey,2022,70,168907,3,1,4,0.917,0.472,0.204,0,0.107,-13.065,0.0452,0.224,82.51,Everything I Know About Love
JUST FRIENDS ?,Eem Triplin,2022,67,163892,1,1,4,0.351,0.642,0.282,0,0.264,-15.018,0.4,0.161,147.022,JUST FRIENDS ?
Hell Yeah,"SoFaygo, Ken Carson",2022,68,168161,9,1,4,0.000113,0.696,0.708,0,0.444,-4.737,0.0438,0.287,142.026,Pink Heartz
Distraction,Polo G,2022,68,171319,11,1,4,0.16,0.713,0.689,0,0.136,-5.99,0.255,0.63,156.934,Distraction
B.O.T.A. (Baddest Of Them All) - Edit,"Eliza Rose, Interplanetary Criminal",2022,80,226627,0,1,4,0.164,0.736,0.906,0.585,0.106,-7.589,0.048,0.698,137.001,B.O.T.A. (Baddest Of Them All)
Walkin,Denzel Curry,2022,68,280000,11,0,4,0.134,0.557,0.654,0,0.291,-7.201,0.196,0.386,135.983,Melt My Eyez See Your Future
Orange Juice,Noah Kahan,2022,66,297103,9,1,4,0.49,0.647,0.384,6.55e-06,0.121,-10.825,0.0374,0.208,119.831,Stick Season
Aguacero,Bad Bunny,2022,75,210989,6,0,5,0.423,0.861,0.645,0.000592,0.349,-6.96,0.0743,0.668,121.391,Un Verano Sin Ti
VETE A LA FREGADA,Eslabon Armado,2022,68,166246,6,1,4,0.0755,0.353,0.701,0,0.191,-5.169,0.0341,0.464,89.739,NOSTALGIA
Hayloft II,Mother Mother,2022,72,215040,9,0,4,0.0044,0.326,0.866,7.37e-06,0.0912,-4.541,0.101,0.172,178.181,Inside (Deluxe)
Alone,Burna Boy,2022,77,221747,4,0,4,0.176,0.6,0.659,0,0.111,-7.264,0.0542,0.307,89.955,Black Panther: Wakanda Forever - Music From and Inspired By
FOR FUN,Lil Uzi Vert,2022,66,188060,7,0,4,0.157,0.775,0.461,0,0.0687,-6.594,0.124,0.131,134.028,RED & WHITE
AWKWARD FREESTYLE,Eem Triplin,2022,66,127765,5,0,4,0.152,0.646,0.465,0,0.194,-10.486,0.436,0.198,157.919,AWKWARD FREESTYLE
Something in the Orange - Z&E's Version,Zach Bryan,2022,66,254258,7,1,4,0.416,0.594,0.382,0,0.117,-5.432,0.0292,0.223,110.237,American Heartbreak
In My Head,Lil Tjay,2022,73,135264,1,1,4,0.159,0.684,0.545,0,0.102,-6.885,0.121,0.407,143.049,In My Head
Notti Bop,"Kyle Richh, TaTa, Jenn Carter",2022,66,225875,2,1,4,0.44,0.782,0.624,0,0.119,-10.807,0.415,0.673,142.107,Notti Bop
Burn,Juice WRLD,2022,68,217222,1,0,4,0.149,0.354,0.475,0.034,0.21,-9.333,0.0425,0.0393,114.975,Fighting Demons (Deluxe)
Hero,"Martin Garrix, JVKE",2022,76,160714,9,0,4,0.316,0.534,0.696,0,0.248,-5.211,0.0694,0.251,168.149,Hero
2 Be Loved (Am I Ready),Lizzo,2022,73,187108,7,1,4,0.0922,0.721,0.769,0,0.0817,-4.111,0.105,0.915,155.932,Special
New Drank,LUCKI,2022,66,88894,11,0,4,0.00183,0.703,0.599,0,0.117,-10.215,0.143,0.695,131.051,New Drank
uh oh,Tate McRae,2022,71,169722,10,0,4,0.257,0.625,0.604,2.06e-05,0.129,-7.415,0.339,0.372,174.089,uh oh
Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,2022,74,285051,0,1,4,0.794,0.431,0.34,0.0108,0.12,-9.384,0.0311,0.0529,119.877,Did you know that there's a tunnel under Ocean Blvd
MAMIII,"Becky G, KAROL G",2022,75,226093,4,0,4,0.0845,0.836,0.703,0,0.138,-3.554,0.0657,0.902,94.048,ESQUEMAS
Cooped Up (with Roddy Ricch),"Post Malone, Roddy Ricch",2022,71,185857,0,1,4,0.038,0.669,0.773,0,0.113,-5.619,0.153,0.377,93.923,Twelve Carat Toothache
After Hours,charlieonnafriday,2022,67,157667,6,1,4,0.115,0.798,0.458,0,0.145,-8.278,0.0504,0.198,133.972,ONNAFRIDAY
MANIAC,Stray Kids,2022,74,182758,1,1,5,0.154,0.581,0.8,0,0.0697,-2.613,0.411,0.709,119.872,ODDINARY
Feliz Cumpleaños Ferxxo,Feid,2022,82,156400,5,1,4,0.102,0.87,0.55,0,0.293,-5.537,0.0722,0.566,95.019,Feliz Cumpleaños Ferxxo
Lost Me,Giveon,2022,72,180954,2,0,4,0.525,0.428,0.443,1.76e-05,0.219,-8.955,0.101,0.2,87.934,Give Or Take
Bad Habit - Sped Up,Steve Lacy,2022,73,191336,9,1,4,0.808,0.709,0.679,4.61e-05,0.428,-4.828,0.0588,0.852,102.653,Bad Habit (Sped Up)
BUCKHEAD,"$uicideboy$, Germ",2022,66,183919,11,1,4,0.00026,0.759,0.833,0.0573,0.178,-5.01,0.0779,0.522,140.026,DIRTIESTNASTIEST$UICIDE
Perro Abandonado,Ivan Cornejo,2022,65,211199,11,0,3,0.492,0.561,0.635,1.27e-06,0.0945,-8.668,0.0345,0.4,147.094,Dañado
You and I,d4vd,2022,69,151695,10,0,4,0.259,0.474,0.919,0.945,0.341,-5.702,0.0381,0.445,90.225,You and I
SMOKE IT OFF!,"Lumi Athena, jnhygs",2022,72,120001,8,1,4,0.000119,0.378,0.824,0,0.359,-6.482,0.159,0.495,148.161,SMOKE IT OFF!
STAYING ALIVE (feat. Drake & Lil Baby),"DJ Khaled, Drake, Lil Baby",2022,70,178176,4,0,4,0.068,0.718,0.461,0,0.283,-7.676,0.0797,0.181,129.953,STAYING ALIVE (feat. Drake & Lil Baby)
KAPITOL DENIM,"LUCKI, Future",2022,67,116133,1,1,4,0.244,0.804,0.375,0,0.0954,-12.951,0.312,0.687,123.958,FLAWLESS LIKE ME
Self Esteem (featuring NLE Choppa),"Lambo4oe, NLE Choppa",2022,70,216032,2,1,4,0.022,0.434,0.669,0,0.121,-7.463,0.0409,0.125,96.679,Self Esteem (featuring NLE Choppa)
Soy El Unico,Yahritza Y Su Esencia,2022,69,214000,4,0,1,0.451,0.708,0.449,0,0.111,-4.369,0.0286,0.63,84.396,Obsessed (Deluxe)
IDGAF (with blackbear),"BoyWithUke, blackbear",2022,71,140667,5,1,4,0.427,0.782,0.728,0,0.25,-5.93,0.0768,0.876,97.975,Serotonin Dreams
Tocame,La Santa Grifa,2022,73,233064,11,0,4,0.198,0.647,0.367,0,0.109,-14.356,0.595,0.714,99.803,Fuera de Órbita
Quittin' Time,Zach Bryan,2022,65,220885,0,0,4,0.215,0.557,0.725,9.21e-06,0.217,-5.79,0.0388,0.54,143.34,Summertime Blues
Baby Girl,Disco Lines,2022,74,111074,2,1,4,0.0921,0.73,0.907,0.114,0.23,-3.72,0.0606,0.249,120.968,Baby Girl
PLASTIC OFF THE SOFA,Beyoncé,2022,70,254319,1,1,4,0.14,0.618,0.712,4.53e-06,0.575,-8.246,0.114,0.305,97.057,RENAISSANCE
Songs We Used To Sing,ERNEST,2022,65,185731,4,1,4,0.434,0.359,0.579,0,0.104,-5.752,0.0282,0.274,89.721,Songs We Used To Sing
highway 95,Baby Keem,2022,68,91783,7,1,4,0.0548,0.77,0.836,0,0.143,-5.322,0.065,0.425,84.944,The Melodic Blue (Deluxe)
Llorar y Llorar - con Carin Leon,"Mau y Ricky, Carin Leon",2022,75,169705,10,1,3,0.554,0.62,0.436,0,0.0891,-8.108,0.213,0.368,172.854,Llorar y Llorar (con Carin Leon)
Please Don't Go,Wyatt Flores,2022,65,181499,6,0,4,0.379,0.683,0.554,0.00011,0.0845,-7.487,0.05,0.452,85.455,Please Don't Go
Ya No Somos Ni Seremos,Christian Nodal,2022,78,185723,7,1,4,0.437,0.588,0.452,0,0.344,-4.75,0.0268,0.734,139.953,Ya No Somos Ni Seremos
Modo Maldito,"Fuerza Regida, Grupo Marca Registrada",2022,72,134624,5,0,3,0.4,0.763,0.767,0,0.127,-4.181,0.201,0.725,87.502,Pa Que Hablen
Very Few Friends,Saint Levant,2022,74,132500,6,0,4,0.162,0.777,0.469,0.00239,0.108,-8.344,0.163,0.557,136.05,Very Few Friends
Give You What You Want,Lil Tjay,2022,71,159331,10,0,4,0.222,0.691,0.656,0.00111,0.153,-5.673,0.0679,0.393,89.467,Give You What You Want
Con La Brisa,"Foudeqush, Ludwig Göransson",2022,74,167387,2,0,4,0.47,0.608,0.429,0.245,0.129,-10.336,0.0316,0.242,113.818,Black Panther: Wakanda Forever - Music From and Inspired By
MIDNIGHT,"PLAYAMANE, Nateki",2022,77,121972,1,1,4,0.0053,0.633,0.433,0.28,0.145,-8.833,0.229,0.373,122.088,MIDNIGHT
Get Away,Young Dolph,2022,66,180760,1,1,4,0.0431,0.839,0.642,6.76e-05,0.148,-5.581,0.0535,0.211,140.078,Get Away
Calm Down,Rema,2022,80,219813,11,1,4,0.376,0.811,0.781,0.001,0.121,-6.333,0.0428,0.824,107.007,Calm Down
I'M THAT GIRL,Beyoncé,2022,71,208014,5,0,4,0.0616,0.554,0.535,1.32e-05,0.124,-8.959,0.186,0.136,105.865,RENAISSANCE
Violet,"Connor Price, Killa",2022,71,122880,8,0,4,0.0177,0.924,0.716,1.15e-06,0.128,-7.158,0.0541,0.48,119.973,Violet
NEON BLADE,MoonDeity,2022,77,265263,7,1,4,0.0284,0.548,0.996,0.92,0.595,-2.169,0.112,0.893,94.999,NEON BLADE
Systëm,Yeat,2022,68,166591,0,0,4,0.183,0.72,0.671,1.81e-06,0.124,-6.195,0.333,0.504,150.121,Lyfë
Impurities,LE SSERAFIM,2022,73,196365,9,0,4,0.231,0.715,0.757,0,0.0656,-4.746,0.0373,0.464,90.065,ANTIFRAGILE
cinderella's dead,EMELINE,2022,72,120666,6,0,4,0.33,0.596,0.607,0,0.103,-6.179,0.168,0.531,119.882,cinderella's dead
Never Sleep (with Lil Baby feat. Travis Scott),"NAV, Lil Baby, Travis Scott",2022,68,185786,1,1,4,0.00639,0.819,0.651,0,0.122,-5.829,0.169,0.501,139.957,Never Sleep
Cheshire,ITZY,2022,75,182453,7,1,4,0.332,0.79,0.838,7.07e-06,0.357,-3.183,0.0501,0.738,98.966,CHESHIRE
Words (feat. Zara Larsson),"Alesso, Zara Larsson",2022,78,142677,10,0,4,0.0245,0.739,0.586,0.000252,0.308,-5.079,0.0472,0.444,124.026,Words (feat. Zara Larsson)
Freestyle 2,Ken Carson,2022,66,138319,1,0,5,0.00402,0.636,0.705,0,0.105,-7.774,0.24,0.679,95.921,X
Destroy Myself Just For You,Montell Fish,2022,69,146000,0,1,4,0.904,0.512,0.186,0.0281,0.11,-16.028,0.0373,0.191,59.677,JAMIE
NO SECRET (feat. Drake),"DJ Khaled, Drake",2022,70,47354,1,0,3,0.195,0.398,0.626,2.55e-05,0.16,-4.164,0.0367,0.0404,106.733,GOD DID
Qué Agonía,"Yuridia, Ángela Aguilar",2022,80,152923,11,1,4,0.56,0.732,0.573,9.34e-06,0.0543,-5.733,0.0237,0.882,97.502,Qué Agonía
Boyfriends,Harry Styles,2022,71,194544,0,1,4,0.935,0.417,0.202,0,0.108,-10.976,0.0357,0.323,118.029,Harry's House
Lock On Me (with Travis Scott & Future),"Metro Boomin, Travis Scott, Future",2022,70,174707,10,1,4,0.511,0.746,0.497,2.2e-05,0.0988,-8.313,0.227,0.169,93.971,HEROES & VILLAINS
Callaita,"Bad Bunny, Tainy",2022,74,250534,2,1,4,0.597,0.608,0.626,2.16e-06,0.25,-4.773,0.301,0.246,176.086,Un Verano Sin Ti
El Chamaquito,"Virlan Garcia, Angel Cervantes",2022,77,139863,0,1,4,0.744,0.905,0.421,3.77e-05,0.0763,-9.433,0.0387,0.955,103.992,El Chamaquito
AVA,Natalie Jane,2022,73,159339,3,0,4,0.155,0.578,0.471,0,0.0779,-6.379,0.0417,0.233,86.982,AVA
just wanna rock (Lil Uzi Vert) - Sped Up Version,"sped up nightcore, Lil Uzi Vert",2022,70,100383,1,1,4,0.0099,0.544,0.546,0.00027,0.392,-14.475,0.0923,0.151,161.76,just wanna rock (Lil Uzi Vert) [Sped Up Version]
Feeling Like The End,Joji,2022,71,102480,2,1,4,0.299,0.794,0.668,0.00104,0.0899,-7.689,0.0646,0.632,148.016,SMITHEREENS
Texas,BigXthaPlug,2022,64,146133,1,0,4,0.0128,0.764,0.629,0,0.231,-5.985,0.268,0.351,145.028,Texas
Don't Play That,"King Von, 21 Savage",2022,66,133613,10,0,4,0.0748,0.947,0.605,7.54e-06,0.0901,-8.621,0.346,0.656,129.988,What It Means To Be King
Pointless,Lewis Capaldi,2022,78,235752,4,1,3,0.0686,0.325,0.59,0,0.104,-3.943,0.0495,0.278,180.449,Pointless
This Love (Taylor’s Version),Taylor Swift,2022,71,250100,4,1,4,0.302,0.47,0.494,0,0.0672,-8.672,0.0349,0.0524,144.039,This Love (Taylor’s Version)
Sorry for the Delay,"$uicideboy$, Germ",2022,66,172400,2,1,4,0.00951,0.787,0.889,0.000322,0.652,-3.125,0.128,0.677,156.027,DIRTIESTNASTIEST$UICIDE
double take,dhruv,2022,79,171743,8,1,4,0.845,0.656,0.436,0,0.221,-11.141,0.0744,0.196,109.239,rapunzel
Locksmith,Sadie Jean,2022,71,164082,1,1,4,0.559,0.566,0.348,7.66e-06,0.113,-10.726,0.0458,0.374,98.734,Locksmith
Churchill Downs (feat. Drake),"Jack Harlow, Drake",2022,70,309327,11,1,4,0.615,0.71,0.522,0,0.11,-9.102,0.36,0.37,96.448,Come Home The Kids Miss You
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2022,78,206071,8,1,4,0.182,0.756,0.697,0,0.333,-6.377,0.0401,0.956,94.996,Bam Bam (feat. Ed Sheeran)
BIBI Vengeance,BIBI,2022,77,165135,11,0,4,0.0272,0.442,0.748,0.000128,0.0642,-4.718,0.0895,0.408,99.981,Lowlife Princess: Noir
When You're Gone,Shawn Mendes,2022,76,172267,5,1,4,0.0248,0.603,0.691,0,0.583,-5.805,0.0372,0.577,147.148,When You're Gone
Underrated,Zoe Osama,2022,64,155467,1,1,4,0.148,0.956,0.617,0,0.141,-7.526,0.267,0.739,101.991,Underrated
SPLAT,Connor Price,2022,69,125685,7,1,4,0.0608,0.908,0.45,0,0.0663,-7.174,0.314,0.515,108.056,SPLAT
Mine Again,Zach Bryan,2022,65,224188,7,1,4,0.0441,0.494,0.653,1.42e-05,0.0898,-6.493,0.0632,0.336,153.97,American Heartbreak
Toxic,BoyWithUke,2022,73,168067,11,1,4,0.749,0.609,0.619,0,0.264,-5.677,0.311,0.689,179.71,Serotonin Dreams
Hell Yeah,"SoFaygo, Ken Carson",2022,66,168161,9,1,4,0.000113,0.696,0.708,0,0.444,-4.737,0.0438,0.287,142.026,Hell Yeah
Malas Rachas,"Tony Aguirre, Luis R Conriquez, Los Dareyes De La Sierra",2022,74,260285,3,1,4,0.246,0.7,0.799,0,0.124,-4.185,0.0392,0.79,119.295,Malas Rachas
Shut Down,BLACKPINK,2022,74,175889,0,1,3,0.00327,0.818,0.69,0,0.186,-5.119,0.0454,0.688,110.071,BORN PINK
Warrior of the Mind,"Jorge Rivera-Herrans, Teagan Earley",2022,70,208000,1,0,4,0.568,0.685,0.742,0,0.102,-5.872,0.162,0.392,120.05,EPIC: The Troy Saga (Original Concept Album)
MISA MISA!,"CORPSE, Scarlxrd, Kordhell",2022,70,85895,1,1,4,0.0302,0.672,0.981,2.36e-05,0.648,-1.252,0.181,0.694,95.014,MISA MISA!
I'M ON ONE (feat. Drake),"Future, Drake",2022,67,236187,11,1,4,0.0103,0.773,0.707,1.04e-05,0.296,-5.71,0.0568,0.113,76.977,I NEVER LIKED YOU
BABYDOLL (Speed),Ari Abdul,2022,76,156651,11,1,4,0.0813,0.552,0.582,0.205,0.177,-5.535,0.0404,0.538,105.483,BABYDOLL (Speed)
X ÚLTIMA VEZ,"Daddy Yankee, Bad Bunny",2022,76,192477,7,1,4,0.0789,0.812,0.855,0.000167,0.108,-3.725,0.0554,0.573,90.04,LEGENDADDY
HALAZIA,ATEEZ,2022,73,197026,6,0,4,0.000677,0.482,0.884,0.000575,0.0883,-4.538,0.0668,0.377,171.915,SPIN OFF : FROM THE WITNESS
Heyy,Lil Baby,2022,65,192727,7,1,5,0.00299,0.494,0.667,0,0.0815,-4.632,0.263,0.179,88.028,It's Only Me
Love For The Streets,Young Dolph,2022,66,185280,2,1,4,0.172,0.799,0.733,1.7e-05,0.332,-6.234,0.216,0.753,146.051,Paper Route Frank
Sweetest Pie,"Megan Thee Stallion, Dua Lipa",2022,72,201334,7,1,4,0.167,0.814,0.628,0,0.101,-7.178,0.221,0.677,123.977,Sweetest Pie
She Calls Me Back,Noah Kahan,2022,65,243816,11,1,4,0.0853,0.752,0.679,0,0.28,-6.453,0.0391,0.704,127.945,Stick Season
SHADOW,"ONIMXRU, SMITHMANE",2022,76,162042,7,1,4,0.000166,0.721,0.692,0.275,0.104,-2.927,0.0414,0.531,120.005,SHADOW
THE DEATH OF PEACE OF MIND,Bad Omens,2022,68,241499,0,0,4,0.0869,0.469,0.713,0.000188,0.129,-5.619,0.0461,0.267,154.994,THE DEATH OF PEACE OF MIND
Pistol,Cigarettes After Sex,2022,66,234174,7,1,4,0.522,0.653,0.442,0.699,0.107,-11.727,0.0337,0.363,109.971,Pistol
Savior,"Kendrick Lamar, Baby Keem, Sam Dew",2022,68,224466,8,1,5,0.495,0.605,0.692,0,0.303,-7.45,0.446,0.685,124.84,Mr. Morale & The Big Steppers
No Horse To Ride,Luke Grimes,2022,65,133874,2,1,4,0.143,0.674,0.334,0.000698,0.11,-7.726,0.0277,0.352,120.972,No Horse To Ride
Fuera De Servicio,El Fantasma,2022,71,154869,8,1,4,0.675,0.778,0.445,2.05e-06,0.283,-5.178,0.0416,0.969,116.973,Fuera De Servicio
Escapism.,"RAYE, 070 Shake",2022,78,272373,2,1,4,0.138,0.538,0.742,4.67e-05,0.0934,-5.355,0.114,0.25,96.107,Escapism. (Sped Up)
DICE,NMIXX,2022,75,165747,7,1,4,0.0848,0.556,0.798,0,0.33,-3.331,0.254,0.628,131.096,ENTWURF
COZY,Beyoncé,2022,70,210372,7,1,5,0.000828,0.556,0.63,0.00468,0.155,-8.15,0.102,0.367,149.147,RENAISSANCE
Somethin' Bout You,Mickey Guyton,2022,65,156906,4,1,4,0.0979,0.667,0.826,0,0.151,-3.412,0.0266,0.665,112.041,Somethin' Bout You
Blessing,Lil Tecca,2022,67,144594,1,0,4,0.338,0.703,0.636,0,0.0981,-8.652,0.177,0.496,132.986,Blessing
ZOMBIFIED,Falling In Reverse,2022,68,218521,10,0,4,0.000141,0.544,0.911,8.89e-06,0.333,-3.681,0.0422,0.558,91.033,ZOMBIFIED
Why Not,Ghostface Playa,2022,76,165000,9,1,4,0.000718,0.725,0.984,0.895,0.372,-1.638,0.0351,0.931,119.983,Why Not
Belly Dancer,"Imanbek, BYOR",2022,81,151475,1,1,4,0.0582,0.845,0.797,5.57e-06,0.167,-4.984,0.139,0.422,121.985,Belly Dancer
dec 11th,Giveon,2022,69,73209,5,1,4,0.624,0.571,0.37,0,0.662,-11.797,0.116,0.918,59.886,Give Or Take
love.,Kid Cudi,2022,65,328573,5,1,4,0.146,0.574,0.736,1.66e-05,0.407,-4.743,0.0465,0.344,138.501,The Boy Who Flew To The Moon (Vol. 1)
Bel Mercy,Jengi,2022,65,169606,1,1,4,0.231,0.945,0.759,0.651,0.0989,-5.971,0.0865,0.688,127.024,Bel Mercy
Love Overdose,Rod Wave,2022,64,142286,1,1,1,0.0191,0.658,0.572,0,0.0892,-9.966,0.039,0.293,139.933,Jupiter's Diary: 7 Day Theory
Blow,Moneybagg Yo,2022,66,182533,11,0,4,0.0579,0.815,0.742,0,0.345,-4.896,0.245,0.584,137.036,Blow
In A Minute,Lil Baby,2022,67,200471,4,0,5,0.0279,0.626,0.583,0,0.112,-6.102,0.334,0.133,113.42,It's Only Me
because i liked a boy,Sabrina Carpenter,2022,70,196458,11,1,4,0.363,0.386,0.592,0,0.117,-7.299,0.374,0.161,146.879,emails i can't send
STAYING ALIVE (feat. Drake & Lil Baby),"DJ Khaled, Drake, Lil Baby",2022,69,178176,4,0,4,0.0668,0.677,0.495,0,0.319,-7.174,0.0821,0.152,129.974,GOD DID
Last Last,Burna Boy,2022,75,172342,3,0,4,0.131,0.795,0.565,0,0.0802,-4.457,0.0948,0.55,87.925,"Love, Damini"
Helmet,Steve Lacy,2022,66,201547,9,0,4,0.0994,0.612,0.675,0,0.217,-6.518,0.0231,0.763,97.04,Gemini Rights
Herinneringen,Sohn Aelia,2022,71,172357,0,1,1,0.99,0.0685,0.00342,0.91,0.106,-37.156,0.0418,0.0581,73.644,Herinneringen
Late July,Zach Bryan,2022,64,178020,2,1,4,0.736,0.532,0.354,0,0.11,-8.938,0.0504,0.419,151.266,American Heartbreak
what made you think?,Avery Anna,2022,64,221107,5,1,3,0.23,0.564,0.469,0,0.107,-5.648,0.0297,0.186,124.041,what made you think?
girlfriend,hemlocke springs,2022,67,133151,11,0,4,0.218,0.763,0.759,4.24e-05,0.0724,-3.925,0.0906,0.964,146.006,girlfriend
Home Ain't Home (feat. Rod Wave),"YoungBoy Never Broke Again, Rod Wave",2022,64,141166,0,1,4,0.424,0.773,0.602,0,0.125,-6.777,0.173,0.553,82.055,The Last Slimeto
Never Gonna Not Dance Again,P!nk,2022,77,225789,5,0,4,0.0273,0.668,0.802,0,0.163,-4.005,0.0917,0.769,113.796,Never Gonna Not Dance Again
Crystals,Isolate.exe,2022,77,139200,11,1,4,0.438,0.692,0.729,0.656,0.0939,-10.435,0.0554,0.13,100.015,Crystals
Wreckage,Nate Smith,2022,66,212747,10,1,4,0.0452,0.563,0.575,0,0.101,-5.072,0.0266,0.162,145.103,Wreckage
"Everywhere, Everything",Noah Kahan,2022,64,257668,11,1,3,0.378,0.456,0.383,0,0.138,-9.184,0.0344,0.301,179.772,Stick Season
Love You Again,Chase Matthew,2022,64,173636,10,0,4,0.214,0.564,0.823,0,0.432,-5.319,0.0297,0.472,132.113,Love You Again
KU LO SA - A COLORS SHOW,Oxlade,2022,78,147581,10,0,4,0.307,0.649,0.655,0,0.22,-5.534,0.0652,0.793,92.9,KU LO SA - A COLORS SHOW
No Me Quise Ir,Ivan Cornejo,2022,65,210347,6,1,4,0.0101,0.342,0.463,0.000712,0.12,-11.716,0.0354,0.187,85.05,Dañado
Dear Alcohol,Dax,2022,66,236308,1,1,4,0.258,0.817,0.501,0,0.102,-9.623,0.0481,0.408,129.979,Dear Alcohol
Me On You,Muscadine Bloodline,2022,65,167267,11,0,4,0.221,0.72,0.798,0,0.181,-5.42,0.0359,0.949,97.918,Me On You
SI SUPIERAS,"Eslabon Armado, DannyLux",2022,68,227815,0,1,3,0.208,0.642,0.768,0,0.225,-3.674,0.0248,0.546,97.485,NOSTALGIA
ADDICTIONS (FEAT. Tre' Amani),"Brent Faiyaz, Tre' Amani",2022,67,192011,10,0,4,0.0209,0.889,0.489,1.78e-05,0.0814,-8.587,0.108,0.843,93.039,WASTELAND
PSYCHO,"Anne-Marie, Aitch",2022,75,162493,9,1,4,0.0138,0.62,0.681,0,0.0248,-4.915,0.356,0.741,160.743,PSYCHO
El Belicon,"Peso Pluma, Raul Vega",2022,74,214398,8,1,3,0.434,0.409,0.713,0.000719,0.206,-6.713,0.03,0.725,97.029,El Belicón
We'll Never Have Sex,Leith Ross,2022,67,99621,2,1,3,0.959,0.365,0.07,0.000977,0.111,-17.095,0.0838,0.443,174.053,We'll Never Have Sex
Talk 2 Me,Montell Fish,2022,68,139806,11,1,4,0.816,0.464,0.126,3.67e-06,0.559,-16.383,0.0647,0.181,103.176,JAMIE
an Interlude Called “Circus” (feat. Eryn Allen Kane),"Saba, Eryn Allen Kane",2022,68,62973,2,1,4,0.0742,0.839,0.363,0,0.171,-13.572,0.0647,0.285,106.737,Few Good Things
"My Swisher Sweet, But My Sig Sauer","$uicideboy$, Germ",2022,65,226932,0,1,4,0.000275,0.683,0.969,0.126,0.94,-3.29,0.171,0.595,170.017,DIRTIESTNASTIEST$UICIDE
Rackz got më (feat. Gunna),"Yeat, Gunna",2022,67,181440,5,0,4,0.00439,0.788,0.603,0.000232,0.144,-6.959,0.1,0.216,142.943,2 Alivë
In A Minute,Lil Baby,2022,68,200471,4,0,4,0.0336,0.643,0.605,0,0.112,-5.968,0.297,0.145,84.216,In A Minute
Over,Lucky Daye,2022,69,207413,6,0,4,0.502,0.65,0.555,0,0.104,-5.971,0.0719,0.352,103.081,Candydrip
Yet To Come,BTS,2022,78,193594,1,1,4,0.0432,0.559,0.885,0,0.333,-4.515,0.189,0.683,172.029,Proof
Skyline,Khalid,2022,70,182895,11,1,5,0.0179,0.733,0.653,0.0218,0.184,-6.094,0.0391,0.752,119.996,Skyline
CHURCH GIRL,Beyoncé,2022,69,224473,2,1,4,0.0381,0.792,0.919,5.1e-06,0.368,-5.688,0.276,0.22,92.028,RENAISSANCE
Me Hiciste un Loco,Ivan Cornejo,2022,64,206919,1,1,3,0.624,0.443,0.46,0.000229,0.103,-10.971,0.0636,0.256,158.366,Dañado
HEATED,Beyoncé,2022,70,260771,1,1,4,0.0636,0.785,0.732,0.000807,0.265,-5.724,0.164,0.496,110.952,RENAISSANCE
Like A Villain,Bad Omens,2022,68,210685,7,1,4,0.000696,0.456,0.915,9.95e-05,0.428,-4.508,0.206,0.403,154.946,THE DEATH OF PEACE OF MIND
Pink Venom,BLACKPINK,2022,73,186964,4,1,4,0.0145,0.693,0.734,0,0.217,-6.189,0.202,0.708,180.06,BORN PINK
Memory to Drown,Bryan Martin,2022,65,215048,6,1,4,0.0957,0.662,0.781,8e-05,0.123,-3.294,0.0245,0.641,126.028,Self Inflicted Scars
So Good,Halsey,2022,69,176059,3,0,4,0.0385,0.576,0.627,0,0.181,-4.649,0.0449,0.311,164.998,So Good
Wish on an Eyelash,Mallrat,2022,68,58930,2,1,3,0.885,0.418,0.288,0.0316,0.115,-10.597,0.0351,0.352,89.861,Butterfly Blue
Break My Heart,Rod Wave,2022,64,169412,1,1,4,0.00792,0.722,0.483,0,0.0977,-8.458,0.0455,0.355,85.007,Jupiter's Diary: 7 Day Theory
THE SHADE,Rex Orange County,2022,79,181507,5,1,4,0.391,0.898,0.509,0,0.0876,-7.973,0.062,0.727,119.869,WHO CARES?
POP!,NAYEON,2022,75,168107,2,1,4,0.0361,0.795,0.859,0,0.0321,-2.994,0.0542,0.356,96.986,IM NAYEON
